	prefix	input_text	target_text
5610	translate turkish to english	Bay Hatoyama ÅŸirket konutunda yaÅŸÄ±yor gibi gÃ¶rÃ¼nÃ¼yor.	Looks like Mr. Hatoyama lives in the company's residence.
5611	translate english to turkish	Looks like Mr. Hatoyama lives in the company's residence.	Bay Hatoyama ÅŸirket konutunda yaÅŸÄ±yor gibi gÃ¶rÃ¼nÃ¼yor.
5612	translate turkish to english	Sami, Leyla ile Ã¼niversitede tanÄ±ÅŸtÄ±.	Sami met Layla in college.
5613	translate english to turkish	Sami met Layla in college.	Sami, Leyla ile Ã¼niversitede tanÄ±ÅŸtÄ±.
5614	translate turkish to english	Ä°lk kez bir yumurta kÄ±zarttÄ±m.	It's the first time I've ever fried an egg.
5615	translate english to turkish	It's the first time I've ever fried an egg.	Ä°lk kez bir yumurta kÄ±zarttÄ±m.
5616	translate turkish to english	O nerede olmasÄ± gerektiÄŸini bilmiyor.	He doesn't know where he's supposed to be.
5617	translate english to turkish	He doesn't know where he's supposed to be.	O nerede olmasÄ± gerektiÄŸini bilmiyor.
5618	translate turkish to english	YarÄ±n saat kaÃ§ta lobiye gelmeliyim?	What time should I come to the lobby tomorrow?
5619	translate english to turkish	What time should I come to the lobby tomorrow?	YarÄ±n saat kaÃ§ta lobiye gelmeliyim?
5620	translate turkish to english	Zor iÅŸ onu tÃ¼ketti.	The hard work consumed him.
5621	translate english to turkish	The hard work consumed him.	Zor iÅŸ onu tÃ¼ketti.
5622	translate turkish to english	Tom Mary'nin yeni arabasÄ±na bakmak iÃ§in otoparka yÃ¼rÃ¼dÃ¼.	Tom walked into the parking lot to look at Mary's new car.
5623	translate english to turkish	Tom walked into the parking lot to look at Mary's new car.	Tom Mary'nin yeni arabasÄ±na bakmak iÃ§in otoparka yÃ¼rÃ¼dÃ¼.
5624	translate turkish to english	PerÅŸembe ve cuma hariÃ§ her gÃ¼n sohbet iÃ§in arkadaÅŸlarÄ±yla toplandÄ±.	Every day except Thursday and Friday, she gathers with her friends to chat.
5625	translate english to turkish	Every day except Thursday and Friday, she gathers with her friends to chat.	PerÅŸembe ve cuma hariÃ§ her gÃ¼n sohbet iÃ§in arkadaÅŸlarÄ±yla toplandÄ±.
5626	translate turkish to english	Leyla bir Ä°ngiliz aristokratÄ±n kÄ±zÄ±ydÄ±.	Layla was the daughter of an English aristocrat.
5627	translate english to turkish	Layla was the daughter of an English aristocrat.	Leyla bir Ä°ngiliz aristokratÄ±n kÄ±zÄ±ydÄ±.
5628	translate turkish to english	Tom karÄ±sÄ± ile birlikte evde.	Tom is at home with his wife.
5629	translate english to turkish	Tom is at home with his wife.	Tom karÄ±sÄ± ile birlikte evde.
5630	translate turkish to english	EÄŸer yorgunsan oturabilirsin.	If you're tired, you can sit down.
5631	translate english to turkish	If you're tired, you can sit down.	EÄŸer yorgunsan oturabilirsin.
5632	translate turkish to english	Biz baÅŸardÄ±k.	We did it.
5633	translate english to turkish	We did it.	Biz baÅŸardÄ±k.
5634	translate turkish to english	O hayvan etÃ§il deÄŸil.	That animal is not carnivorous.
5635	translate english to turkish	That animal is not carnivorous.	O hayvan etÃ§il deÄŸil.
5636	translate turkish to english	Tom nedenini sÃ¶ylemiyor.	Tom isn't saying why.
5637	translate english to turkish	Tom isn't saying why.	Tom nedenini sÃ¶ylemiyor.
5638	translate turkish to english	Bunu nereye koyacaÄŸÄ±mdan emin deÄŸilim.	I'm not sure where to put this.
5639	translate english to turkish	I'm not sure where to put this.	Bunu nereye koyacaÄŸÄ±mdan emin deÄŸilim.
5640	translate turkish to english	Nehri yÃ¼zerek geÃ§mede zorluk Ã§ekmedi.	He had no trouble swimming across the river.
5641	translate english to turkish	He had no trouble swimming across the river.	Nehri yÃ¼zerek geÃ§mede zorluk Ã§ekmedi.
5642	translate turkish to english	Bu, Rusya'da seyahat etmek iÃ§in en uygun dÃ¶nemdir.	This is the best time to travel in Russia.
5643	translate english to turkish	This is the best time to travel in Russia.	Bu, Rusya'da seyahat etmek iÃ§in en uygun dÃ¶nemdir.
5644	translate turkish to english	Sadece sana inanmadÄ±ÄŸÄ±mÄ± sÃ¶ylemek istedim.	I just wanted to say I don't believe you.
5645	translate english to turkish	I just wanted to say I don't believe you.	Sadece sana inanmadÄ±ÄŸÄ±mÄ± sÃ¶ylemek istedim.
5646	translate turkish to english	Kule buradan gÃ¶rÃ¼lebilir.	The tower can be seen from here.
5647	translate english to turkish	The tower can be seen from here.	Kule buradan gÃ¶rÃ¼lebilir.
5648	translate turkish to english	Onlar deneyecekler.	They'll try.
5649	translate english to turkish	They'll try.	Onlar deneyecekler.
5650	translate turkish to english	Ã‡ocuklar benden korkuyor.	The kids are afraid of me.
5651	translate english to turkish	The kids are afraid of me.	Ã‡ocuklar benden korkuyor.
5652	translate turkish to english	Onlar Ã¼Ã§ yÄ±ldÄ±r beraberler.	They've been together for three years.
5653	translate english to turkish	They've been together for three years.	Onlar Ã¼Ã§ yÄ±ldÄ±r beraberler.
5654	translate turkish to english	Tom ve benim bir anlaÅŸmam var.	Tom and I have a deal.
5655	translate english to turkish	Tom and I have a deal.	Tom ve benim bir anlaÅŸmam var.
5656	translate turkish to english	Deneyin sonucu yetersizdi.	The experiment was inconclusive.
5657	translate english to turkish	The experiment was inconclusive.	Deneyin sonucu yetersizdi.
5658	translate turkish to english	Tom hoÅŸsohbet deÄŸil.	Tom isn't a conversationalist.
5659	translate english to turkish	Tom isn't a conversationalist.	Tom hoÅŸsohbet deÄŸil.
5660	translate turkish to english	Benim uzun sarÄ± saÃ§larÄ±m var.	I have long blonde hair.
5661	translate english to turkish	I have long blonde hair.	Benim uzun sarÄ± saÃ§larÄ±m var.
5662	translate turkish to english	Beklemek zorunda kalacaÄŸÄ±m.	I'll have to wait.
5663	translate english to turkish	I'll have to wait.	Beklemek zorunda kalacaÄŸÄ±m.
5664	translate turkish to english	Ben sadece Tom'un faturasÄ±nÄ± Ã¶demesini istedim.	I just wanted Tom to pay his bill.
5665	translate english to turkish	I just wanted Tom to pay his bill.	Ben sadece Tom'un faturasÄ±nÄ± Ã¶demesini istedim.
5666	translate turkish to english	Tom genellikle Mary'den az yer.	Tom usually eats less than Mary does.
5667	translate english to turkish	Tom usually eats less than Mary does.	Tom genellikle Mary'den az yer.
5668	translate turkish to english	Tom Ã§ok aÃ§tÄ±.	Tom was very hungry.
5669	translate english to turkish	Tom was very hungry.	Tom Ã§ok aÃ§tÄ±.
5670	translate turkish to english	Bir kalemle Ã§iz.	Draw with a pen.
5671	translate english to turkish	Draw with a pen.	Bir kalemle Ã§iz.
5672	translate turkish to english	Tom iyi yapmadÄ±.	Tom didn't do well.
5673	translate english to turkish	Tom didn't do well.	Tom iyi yapmadÄ±.
5674	translate turkish to english	Cephanemiz bitti.	We're out of ammo.
5675	translate english to turkish	We're out of ammo.	Cephanemiz bitti.
5676	translate turkish to english	Tom evlenmek istiyordu ama Mary istemiyordu.	Tom wanted to get married, but Mary didn't.
5677	translate english to turkish	Tom wanted to get married, but Mary didn't.	Tom evlenmek istiyordu ama Mary istemiyordu.
5678	translate turkish to english	Bu ÅŸimdiye kadar tattÄ±ÄŸÄ±m en iÄŸrenÃ§ ÅŸeydi.	This is the most disgusting thing I've ever tasted.
5679	translate english to turkish	This is the most disgusting thing I've ever tasted.	Bu ÅŸimdiye kadar tattÄ±ÄŸÄ±m en iÄŸrenÃ§ ÅŸeydi.
5680	translate turkish to english	Ben limonu sÄ±ktÄ±m.	I squeezed the lemon.
5681	translate english to turkish	I squeezed the lemon.	Ben limonu sÄ±ktÄ±m.
5682	translate turkish to english	O eski ev yÄ±llardÄ±r ihmal edildi.	That old house has been neglected for years.
5683	translate english to turkish	That old house has been neglected for years.	O eski ev yÄ±llardÄ±r ihmal edildi.
5684	translate turkish to english	Zemin ÅŸiddetle sarsÄ±ldÄ±.	The ground was shaken violently.
5685	translate english to turkish	The ground was shaken violently.	Zemin ÅŸiddetle sarsÄ±ldÄ±.
5686	translate turkish to english	YardÄ±mÄ±na ihtiyacÄ±m yoktu.	I didn't need your help.
5687	translate english to turkish	I didn't need your help.	YardÄ±mÄ±na ihtiyacÄ±m yoktu.
5688	translate turkish to english	Bunu dÃ¼zeltmen gerekiyor.	You need to fix this.
5689	translate english to turkish	You need to fix this.	Bunu dÃ¼zeltmen gerekiyor.
5690	translate turkish to english	Onlar tÃ¼m plandan vazgeÃ§mekten baÅŸka seÃ§enekleri olmadÄ±ÄŸÄ±nÄ± kabul ettiler.	They agreed they had no choice but to give up the whole plan.
5691	translate english to turkish	They agreed they had no choice but to give up the whole plan.	Onlar tÃ¼m plandan vazgeÃ§mekten baÅŸka seÃ§enekleri olmadÄ±ÄŸÄ±nÄ± kabul ettiler.
5692	translate turkish to english	Tom'dan telefon numarasÄ±nÄ± istedim.	I asked Tom for his phone number.
5693	translate english to turkish	I asked Tom for his phone number.	Tom'dan telefon numarasÄ±nÄ± istedim.
5694	translate turkish to english	Tom yÃ¼ksek sesli mÃ¼ziÄŸi sevmez.	Tom doesn't like loud music.
5695	translate english to turkish	Tom doesn't like loud music.	Tom yÃ¼ksek sesli mÃ¼ziÄŸi sevmez.
5696	translate turkish to english	Tom'un Ã§ok aÃ§Ä±k bir teni var ve gÃ¼neÅŸte kolayca yanar.	Tom has a very fair skin and burns easily in the sun.
5697	translate english to turkish	Tom has a very fair skin and burns easily in the sun.	Tom'un Ã§ok aÃ§Ä±k bir teni var ve gÃ¼neÅŸte kolayca yanar.
5698	translate turkish to english	Tom bana biraz iyi tavsiyeler verdi.	Tom gave me some good advice.
5699	translate english to turkish	Tom gave me some good advice.	Tom bana biraz iyi tavsiyeler verdi.
5700	translate turkish to english	Leyla, Sami'ye pahalÄ± bir saat satÄ±n aldÄ±.	Layla bought Sami an expensive watch.
5701	translate english to turkish	Layla bought Sami an expensive watch.	Leyla, Sami'ye pahalÄ± bir saat satÄ±n aldÄ±.
5702	translate turkish to english	O kadar derin deÄŸil.	It's not that deep.
5703	translate english to turkish	It's not that deep.	O kadar derin deÄŸil.
5704	translate turkish to english	Manuela'nÄ±n elbiseleri Ã§ok ÅŸÄ±k.	Manuela's clothes are very chic.
5705	translate english to turkish	Manuela's clothes are very chic.	Manuela'nÄ±n elbiseleri Ã§ok ÅŸÄ±k.
5706	translate turkish to english	Postane oradaki maÄŸazanÄ±n sadece karÅŸÄ±sÄ±nda.	The post office is just across the street from that store over there.
5707	translate english to turkish	The post office is just across the street from that store over there.	Postane oradaki maÄŸazanÄ±n sadece karÅŸÄ±sÄ±nda.
5708	translate turkish to english	Sonunda gideceÄŸimiz yere vardÄ±k.	We've finally reached our destination.
5709	translate english to turkish	We've finally reached our destination.	Sonunda gideceÄŸimiz yere vardÄ±k.
5710	translate turkish to english	Kent, bu eski tarihi binayÄ± restore etti.	Kent restored this old historic building.
5711	translate english to turkish	Kent restored this old historic building.	Kent, bu eski tarihi binayÄ± restore etti.
5712	translate turkish to english	Onu yapacak mÄ±sÄ±n?	Are you going to do that?
5713	translate english to turkish	Are you going to do that?	Onu yapacak mÄ±sÄ±n?
5714	translate turkish to english	Boston'da pek Ã§ok insan tanÄ±mÄ±yorum.	I don't know many people in Boston.
5715	translate english to turkish	I don't know many people in Boston.	Boston'da pek Ã§ok insan tanÄ±mÄ±yorum.
5716	translate turkish to english	Pek Ã§ok farklÄ± gÃ¼zellik tÃ¼rÃ¼ vardÄ±r.	There are many different kinds of beauty.
5717	translate english to turkish	There are many different kinds of beauty.	Pek Ã§ok farklÄ± gÃ¼zellik tÃ¼rÃ¼ vardÄ±r.
5718	translate turkish to english	Ben bir ameliyat doktoruyum.	I'm a surgeon.
5719	translate english to turkish	I'm a surgeon.	Ben bir ameliyat doktoruyum.
5720	translate turkish to english	Onu Ã§ok beÄŸendim.	I like him very much.
5721	translate english to turkish	I like him very much.	Onu Ã§ok beÄŸendim.
5722	translate turkish to english	Bunu kaÃ§ kez yapmak zorunda kalacaÄŸÄ±nÄ± bilmiyorum.	I don't know how many times you're gonna have to do this.
5723	translate english to turkish	I don't know how many times you're gonna have to do this.	Bunu kaÃ§ kez yapmak zorunda kalacaÄŸÄ±nÄ± bilmiyorum.
5724	translate turkish to english	Tom gÃ¼n aÅŸÄ±rÄ± uÄŸrar bize.	Tom comes over every day.
5725	translate english to turkish	Tom comes over every day.	Tom gÃ¼n aÅŸÄ±rÄ± uÄŸrar bize.
5726	translate turkish to english	On Ã¶ÄŸrenci kopya Ã§ekerken yakalandÄ±.	Ten students were caught cheating.
5727	translate english to turkish	Ten students were caught cheating.	On Ã¶ÄŸrenci kopya Ã§ekerken yakalandÄ±.
5728	translate turkish to english	Sizden biri onlarÄ± gÃ¶rdÃ¼ mÃ¼?	Did any of you see them?
5729	translate english to turkish	Did any of you see them?	Sizden biri onlarÄ± gÃ¶rdÃ¼ mÃ¼?
5730	translate turkish to english	O tamamen benim hatamdÄ±.	That was totally my fault.
5731	translate english to turkish	That was totally my fault.	O tamamen benim hatamdÄ±.
5732	translate turkish to english	HiÃ§ sÃ¶ylemeye gerek yok, erken kalkmak Ã¶nemlidir.	Needless to say, getting up early is important.
5733	translate english to turkish	Needless to say, getting up early is important.	HiÃ§ sÃ¶ylemeye gerek yok, erken kalkmak Ã¶nemlidir.
5734	translate turkish to english	OnlarÄ± aramaya gideceÄŸim.	I'll go look for them.
5735	translate english to turkish	I'll go look for them.	OnlarÄ± aramaya gideceÄŸim.
5736	translate turkish to english	Siz bir dedektif misiniz?	Are you a detective?
5737	translate english to turkish	Are you a detective?	Siz bir dedektif misiniz?
5738	translate turkish to english	Eve gitsene.	Why don't you go home?
5739	translate english to turkish	Why don't you go home?	Eve gitsene.
5740	translate turkish to english	Tom saatte 80 mil hÄ±zla tÃ¼nelden Ã§Ä±ktÄ±.	Tom exited the tunnel at 80 miles an hour.
5741	translate english to turkish	Tom exited the tunnel at 80 miles an hour.	Tom saatte 80 mil hÄ±zla tÃ¼nelden Ã§Ä±ktÄ±.
5742	translate turkish to english	Bir dersi dinlerken sessiz olmalÄ±sÄ±n.	You have to be quiet when you're listening to a lesson.
5743	translate english to turkish	You have to be quiet when you're listening to a lesson.	Bir dersi dinlerken sessiz olmalÄ±sÄ±n.
5744	translate turkish to english	Alarm Ã§alarsa, yÃ¼rÃ¼, koÅŸma.	If the alarm goes off, walk, don't run.
5745	translate english to turkish	If the alarm goes off, walk, don't run.	Alarm Ã§alarsa, yÃ¼rÃ¼, koÅŸma.
5746	translate turkish to english	Pencereyi aÃ§makta zorlandÄ±m.	I had trouble opening the window.
5747	translate english to turkish	I had trouble opening the window.	Pencereyi aÃ§makta zorlandÄ±m.
5748	translate turkish to english	HÃ¼kÃ¼metimiz ne durumda?	What about our government?
5749	translate english to turkish	What about our government?	HÃ¼kÃ¼metimiz ne durumda?
5750	translate turkish to english	Bu dÃ¼pedÃ¼z deli.	That's just crazy.
5751	translate english to turkish	That's just crazy.	Bu dÃ¼pedÃ¼z deli.
5752	translate turkish to english	Ucuz olduÄŸu sÃ¼rece, herhangi bir saat iÅŸimi gÃ¶rÃ¼r.	As long as it's cheap, any hour will do.
5753	translate english to turkish	As long as it's cheap, any hour will do.	Ucuz olduÄŸu sÃ¼rece, herhangi bir saat iÅŸimi gÃ¶rÃ¼r.
5754	translate turkish to english	BildiÄŸimiz her ÅŸeyi sana sÃ¶yledik.	We've told you everything we know.
5755	translate english to turkish	We've told you everything we know.	BildiÄŸimiz her ÅŸeyi sana sÃ¶yledik.
5756	translate turkish to english	Bu sana nasÄ±l hissettirdi?	How did that make you feel?
5757	translate english to turkish	How did that make you feel?	Bu sana nasÄ±l hissettirdi?
5758	translate turkish to english	Åžimdilik yeterince yedim.	I've had enough for now.
5759	translate english to turkish	I've had enough for now.	Åžimdilik yeterince yedim.
5760	translate turkish to english	Onlar her zaman aynÄ± ÅŸeyler hakkÄ±nda konuÅŸurlar.	They always talk about the same things.
5761	translate english to turkish	They always talk about the same things.	Onlar her zaman aynÄ± ÅŸeyler hakkÄ±nda konuÅŸurlar.
5762	translate turkish to english	Beklenmeyen giderler iÃ§in hazÄ±r mÄ±sÄ±n?	Are you ready for the unexpected expenses?
5763	translate english to turkish	Are you ready for the unexpected expenses?	Beklenmeyen giderler iÃ§in hazÄ±r mÄ±sÄ±n?
5764	translate turkish to english	Tom'dan Mary'ye onun nasÄ±l yapÄ±lacaÄŸÄ±nÄ± gÃ¶stermesini istedim.	I asked Tom to show Mary how to do that.
5765	translate english to turkish	I asked Tom to show Mary how to do that.	Tom'dan Mary'ye onun nasÄ±l yapÄ±lacaÄŸÄ±nÄ± gÃ¶stermesini istedim.
5766	translate turkish to english	Gelecek nisan ayÄ±nda iki yÄ±ldÄ±r burada yaÅŸamakta olacaÄŸÄ±z.	We'll be living here for two years next April.
5767	translate english to turkish	We'll be living here for two years next April.	Gelecek nisan ayÄ±nda iki yÄ±ldÄ±r burada yaÅŸamakta olacaÄŸÄ±z.
5768	translate turkish to english	Bana Ã¶yle bakmayÄ± durdurur musun?	Will you stop looking at me like that?
5769	translate english to turkish	Will you stop looking at me like that?	Bana Ã¶yle bakmayÄ± durdurur musun?
5770	translate turkish to english	TekniÄŸin ilginÃ§.	Your technique is interesting.
5771	translate english to turkish	Your technique is interesting.	TekniÄŸin ilginÃ§.
5772	translate turkish to english	OnlarÄ± nerede mahkemeye verdin?	Where did you sue them?
5773	translate english to turkish	Where did you sue them?	OnlarÄ± nerede mahkemeye verdin?
5774	translate turkish to english	Ã‡ocukken Ã§ok utangaÃ§tÄ±m.	I was so shy when I was a kid.
5775	translate english to turkish	I was so shy when I was a kid.	Ã‡ocukken Ã§ok utangaÃ§tÄ±m.
5776	translate turkish to english	Nerelisin, Tom?	Where are you from, Tom?
5777	translate english to turkish	Where are you from, Tom?	Nerelisin, Tom?
5778	translate turkish to english	Tom Mary'nin bunu yapmasÄ±na izin verilmediÄŸini sÃ¶ylÃ¼yor.	Tom says Mary isn't allowed to do that.
5779	translate english to turkish	Tom says Mary isn't allowed to do that.	Tom Mary'nin bunu yapmasÄ±na izin verilmediÄŸini sÃ¶ylÃ¼yor.
5780	translate turkish to english	Tom yetenekli bir oyuncu, deÄŸil mi?	Tom is a talented player, isn't he?
5781	translate english to turkish	Tom is a talented player, isn't he?	Tom yetenekli bir oyuncu, deÄŸil mi?
5782	translate turkish to english	Siz uzaklaÅŸtÄ±rÄ±ldÄ±nÄ±z.	You're suspended.
5783	translate english to turkish	You're suspended.	Siz uzaklaÅŸtÄ±rÄ±ldÄ±nÄ±z.
5784	translate turkish to english	Biz de seni Ã¶zledik.	We missed you, too.
5785	translate english to turkish	We missed you, too.	Biz de seni Ã¶zledik.
5786	translate turkish to english	HÃ¢lÃ¢ bizimle misin?	Are you still with us?
5787	translate english to turkish	Are you still with us?	HÃ¢lÃ¢ bizimle misin?
5788	translate turkish to english	Ã‡ocuklara karÅŸÄ± Ã§ok sert olma.	Don't be too hard on the kids.
5789	translate english to turkish	Don't be too hard on the kids.	Ã‡ocuklara karÅŸÄ± Ã§ok sert olma.
5790	translate turkish to english	Beyin sadece karmaÅŸÄ±k bir makinedir.	The brain is just a complicated machine.
5791	translate english to turkish	The brain is just a complicated machine.	Beyin sadece karmaÅŸÄ±k bir makinedir.
5792	translate turkish to english	Rolodeksimi kontrol edeyim.	Let me check my Rolodex.
5793	translate english to turkish	Let me check my Rolodex.	Rolodeksimi kontrol edeyim.
5794	translate turkish to english	Tom dÃ¼nkÃ¼ toplantÄ±ya katÄ±lmadÄ±.	Tom didn't attend yesterday's meeting.
5795	translate english to turkish	Tom didn't attend yesterday's meeting.	Tom dÃ¼nkÃ¼ toplantÄ±ya katÄ±lmadÄ±.
5796	translate turkish to english	Ä°yi bir restoran ama oldukÃ§a pahalÄ±.	It's a good restaurant, but it's quite expensive.
5797	translate english to turkish	It's a good restaurant, but it's quite expensive.	Ä°yi bir restoran ama oldukÃ§a pahalÄ±.
5798	translate turkish to english	Tom'un en az sevdiÄŸi renk mavi-yeÅŸildir.	Tom's least favorite color is blue-green.
5799	translate english to turkish	Tom's least favorite color is blue-green.	Tom'un en az sevdiÄŸi renk mavi-yeÅŸildir.
5800	translate turkish to english	Emekli olmak iÃ§in yeterli param olsaydÄ±, olurdum.	If I had enough money to retire, I would.
5801	translate english to turkish	If I had enough money to retire, I would.	Emekli olmak iÃ§in yeterli param olsaydÄ±, olurdum.
5802	translate turkish to english	Tom Ã§ok gizemliydi.	Tom was very mysterious.
5803	translate english to turkish	Tom was very mysterious.	Tom Ã§ok gizemliydi.
5804	translate turkish to english	SanÄ±rÄ±m Tom onu yapabilir.	I think Tom might be able to do that.
5805	translate english to turkish	I think Tom might be able to do that.	SanÄ±rÄ±m Tom onu yapabilir.
5806	translate turkish to english	NasÄ±l olduÄŸumu biliyorum.	I know how I am.
5807	translate english to turkish	I know how I am.	NasÄ±l olduÄŸumu biliyorum.
5808	translate turkish to english	Tom geÃ§ kalktÄ±.	Tom got up late.
5809	translate english to turkish	Tom got up late.	Tom geÃ§ kalktÄ±.
5810	translate turkish to english	Tom garson kÄ±zdan ÅŸarap listesini istedi.	Tom asked the waitress for the wine list.
5811	translate english to turkish	Tom asked the waitress for the wine list.	Tom garson kÄ±zdan ÅŸarap listesini istedi.
5812	translate turkish to english	O, tekrar geÃ§ kalmamaya sÃ¶z verdi.	He promised not to be late again.
5813	translate english to turkish	He promised not to be late again.	O, tekrar geÃ§ kalmamaya sÃ¶z verdi.
5814	translate turkish to english	Aniden ortaya Ã§Ä±ktÄ±.	He came out of nowhere.
5815	translate english to turkish	He came out of nowhere.	Aniden ortaya Ã§Ä±ktÄ±.
5816	translate turkish to english	Tom sana yardÄ±m edebileceÄŸini dÃ¼ÅŸÃ¼nÃ¼yor.	Tom thinks he can help you.
5817	translate english to turkish	Tom thinks he can help you.	Tom sana yardÄ±m edebileceÄŸini dÃ¼ÅŸÃ¼nÃ¼yor.
5818	translate turkish to english	Kamerada film yoktur.	There's no film in the camera.
5819	translate english to turkish	There's no film in the camera.	Kamerada film yoktur.
5820	translate turkish to english	ArkadaÅŸÄ±mdan tavsiye istedim.	I asked my friend for advice.
5821	translate english to turkish	I asked my friend for advice.	ArkadaÅŸÄ±mdan tavsiye istedim.
5822	translate turkish to english	Tom'un arabasÄ± bir aÄŸaca Ã§arptÄ±.	Tom's car hit a tree.
5823	translate english to turkish	Tom's car hit a tree.	Tom'un arabasÄ± bir aÄŸaca Ã§arptÄ±.
5824	translate turkish to english	Ã–ÄŸretmenler bu konuda bÃ¶lÃ¼ndÃ¼ler.	Teachers are divided about it.
5825	translate english to turkish	Teachers are divided about it.	Ã–ÄŸretmenler bu konuda bÃ¶lÃ¼ndÃ¼ler.
5826	translate turkish to english	Tom'la birlikte Ã¶nÃ¼mÃ¼zdeki hafta boyunca Boston'da olacaÄŸÄ±m.	I'll be in Boston with Tom next week.
5827	translate english to turkish	I'll be in Boston with Tom next week.	Tom'la birlikte Ã¶nÃ¼mÃ¼zdeki hafta boyunca Boston'da olacaÄŸÄ±m.
5828	translate turkish to english	Bence vazgeÃ§sen iyi olur.	I think you should give up.
5829	translate english to turkish	I think you should give up.	Bence vazgeÃ§sen iyi olur.
5830	translate turkish to english	Onun kÃ¶peÄŸi nerede?	Where's his dog?
5831	translate english to turkish	Where's his dog?	Onun kÃ¶peÄŸi nerede?
5832	translate turkish to english	Tom ile her hafta Ã¼Ã§ kez FransÄ±zca Ã§alÄ±ÅŸÄ±yorum.	I study French with Tom three times every week.
5833	translate english to turkish	I study French with Tom three times every week.	Tom ile her hafta Ã¼Ã§ kez FransÄ±zca Ã§alÄ±ÅŸÄ±yorum.
5834	translate turkish to english	Neden politika hakkÄ±nda konuÅŸmaktan hoÅŸlanmÄ±yorsun?	Why don't you like talking about politics?
5835	translate english to turkish	Why don't you like talking about politics?	Neden politika hakkÄ±nda konuÅŸmaktan hoÅŸlanmÄ±yorsun?
5836	translate turkish to english	Ã–ÄŸretmenimi sevmiyordum.	I didn't like my teacher.
5837	translate english to turkish	I didn't like my teacher.	Ã–ÄŸretmenimi sevmiyordum.
5838	translate turkish to english	O, o gÃ¶revi tekrar yapmak zorunda kalacak.	He will have to do that task again.
5839	translate english to turkish	He will have to do that task again.	O, o gÃ¶revi tekrar yapmak zorunda kalacak.
5840	translate turkish to english	Gece ilerleyip Tom iÃ§kileri devirdikÃ§e, esprileri de gittikÃ§e daha mÃ¼stehcenleÅŸti.	As the night went on and Tom knocked over the drinks, his jokes became more and more obscene.
5841	translate english to turkish	As the night went on and Tom knocked over the drinks, his jokes became more and more obscene.	Gece ilerleyip Tom iÃ§kileri devirdikÃ§e, esprileri de gittikÃ§e daha mÃ¼stehcenleÅŸti.
5842	translate turkish to english	BugÃ¼n cevap vermek zorunda deÄŸilsin.	You don't have to answer today.
5843	translate english to turkish	You don't have to answer today.	BugÃ¼n cevap vermek zorunda deÄŸilsin.
5844	translate turkish to english	Zor bir gÃ¼n geÃ§irdim, tek istediÄŸim erken bir gecedir.	I've had a rough day, and all I want is an early night.
5845	translate english to turkish	I've had a rough day, and all I want is an early night.	Zor bir gÃ¼n geÃ§irdim, tek istediÄŸim erken bir gecedir.
5846	translate turkish to english	O bir ÅŸey sÃ¶yledi.	He said something.
5847	translate english to turkish	He said something.	O bir ÅŸey sÃ¶yledi.
5848	translate turkish to english	DÃ¼ÅŸÃ¼nmek iÃ§in biraz zamana ihtiyacÄ±m var.	I need some time to think.
5849	translate english to turkish	I need some time to think.	DÃ¼ÅŸÃ¼nmek iÃ§in biraz zamana ihtiyacÄ±m var.
5850	translate turkish to english	Modern teleskoplar sayesinde sayÄ±sÄ±z sÃ¼pernovaya ÅŸahit olduk.	Thanks to modern telescopes, we've seen countless supernovas.
5851	translate english to turkish	Thanks to modern telescopes, we've seen countless supernovas.	Modern teleskoplar sayesinde sayÄ±sÄ±z sÃ¼pernovaya ÅŸahit olduk.
5852	translate turkish to english	Tom genellikle detaylar hakkÄ±nda endiÅŸe etmeyen insan tÃ¼rÃ¼dÃ¼r.	Tom is usually the kind of person who doesn't worry about details.
5853	translate english to turkish	Tom is usually the kind of person who doesn't worry about details.	Tom genellikle detaylar hakkÄ±nda endiÅŸe etmeyen insan tÃ¼rÃ¼dÃ¼r.
5854	translate turkish to english	Tom bunu kendi baÅŸÄ±na yapmaya karar verdi.	Tom decided to do that by himself.
5855	translate english to turkish	Tom decided to do that by himself.	Tom bunu kendi baÅŸÄ±na yapmaya karar verdi.
5856	translate turkish to english	Bir insan kÃ¶tÃ¼ alÄ±ÅŸkanlÄ±klarÄ± bÄ±rakmak iÃ§in asla Ã§ok yaÅŸlÄ± deÄŸildir.	A man is never too old to let go of bad habits.
5857	translate english to turkish	A man is never too old to let go of bad habits.	Bir insan kÃ¶tÃ¼ alÄ±ÅŸkanlÄ±klarÄ± bÄ±rakmak iÃ§in asla Ã§ok yaÅŸlÄ± deÄŸildir.
5858	translate turkish to english	KÃ¶prÃ¼, kÃ¶rfezi geÃ§iyor.	The bridge is crossing the bay.
5859	translate english to turkish	The bridge is crossing the bay.	KÃ¶prÃ¼, kÃ¶rfezi geÃ§iyor.
5860	translate turkish to english	Onu asla yapmayacaÄŸÄ±m.	I'll never do that.
5861	translate english to turkish	I'll never do that.	Onu asla yapmayacaÄŸÄ±m.
5862	translate turkish to english	Ã–lÃ¼m yaklaÅŸtÄ±ÄŸÄ±nda, yapabileceÄŸiniz bÃ¼tÃ¼n ÅŸey yavaÅŸ yavaÅŸ tÄ±rnaklarÄ±nÄ±zÄ± Ã§iÄŸnemektir.	When death approaches, all you can do is slowly chew your nails.
